subset,eff,density,n,spearman,spearman_p,pearson,pearson_p
n>=100,eff_norm,var_err_strength,10,-0.394,0.26,-0.263,0.463
n>=100,eff_winrate,n,10,-0.058,0.873,-0.043,0.905
n>=100,eff_winrate,d,10,-0.056,0.879,-0.117,0.747
n>=100,eff_winrate,spread,10,0.009,0.98,0.008,0.982
n>=100,eff_winrate,nn1_mean,10,-0.064,0.86,-0.179,0.62
n>=100,eff_winrate,knn5_mean,10,-0.077,0.833,-0.049,0.893
n>=100,eff_winrate,knn5_median,10,-0.04,0.913,-0.034,0.926
n>=100,eff_winrate,het_global_cv,10,-0.132,0.716,-0.155,0.669
n>=100,eff_winrate,knn_cv_mean,10,0.475,0.165,0.052,0.887
n>=100,eff_winrate,norm_entropy,10,0.052,0.886,-0.026,0.944
n>=100,eff_winrate,min_pairwise,10,-0.438,0.206,-0.668,0.035
n>=100,eff_winrate,spc_err_strength,10,-0.373,0.288,-0.388,0.268
n>=100,eff_winrate,spc_err_nn_k1,10,-0.248,0.489,-0.233,0.517
n>=100,eff_winrate,var_err_strength,10,-0.489,0.151,-0.538,0.109
n>=100,eff_gapclosed,n,10,-0.012,0.973,-0.241,0.503
n>=100,eff_gapclosed,d,10,-0.092,0.801,-0.196,0.588
n>=100,eff_gapclosed,spread,10,-0.146,0.688,-0.188,0.604
n>=100,eff_gapclosed,nn1_mean,10,-0.219,0.544,-0.243,0.498
n>=100,eff_gapclosed,knn5_mean,10,-0.34,0.336,-0.273,0.446
n>=100,eff_gapclosed,knn5_median,10,-0.255,0.476,-0.239,0.506
n>=100,eff_gapclosed,het_global_cv,10,-0.158,0.663,0.146,0.688
n>=100,eff_gapclosed,knn_cv_mean,10,0.195,0.59,0.133,0.713
n>=100,eff_gapclosed,norm_entropy,10,-0.122,0.738,0.205,0.57
n>=100,eff_gapclosed,min_pairwise,10,-0.394,0.26,-0.133,0.714
n>=100,eff_gapclosed,spc_err_strength,10,-0.006,0.987,0.055,0.881
n>=100,eff_gapclosed,spc_err_nn_k1,10,-0.328,0.354,-0.109,0.764
n>=100,eff_gapclosed,var_err_strength,10,-0.261,0.467,-0.261,0.467
n>=100,eff_vs_teacher,n,10,-0.043,0.907,0.261,0.466
n>=100,eff_vs_teacher,d,10,-0.661,0.038,-0.636,0.048
n>=100,eff_vs_teacher,spread,10,-0.492,0.148,-0.595,0.07
n>=100,eff_vs_teacher,nn1_mean,10,-0.334,0.345,-0.624,0.054
n>=100,eff_vs_teacher,knn5_mean,10,-0.298,0.403,-0.615,0.058
n>=100,eff_vs_teacher,knn5_median,10,-0.31,0.383,-0.568,0.087
n>=100,eff_vs_teacher,het_global_cv,10,0.067,0.854,0.962,0.0
n>=100,eff_vs_teacher,knn_cv_mean,10,0.14,0.7,0.942,0.0
n>=100,eff_vs_teacher,norm_entropy,10,-0.091,0.802,-0.315,0.376
n>=100,eff_vs_teacher,min_pairwise,10,-0.265,0.46,-0.148,0.684
n>=100,eff_vs_teacher,spc_err_strength,10,-0.6,0.067,-0.452,0.19
n>=100,eff_vs_teacher,spc_err_nn_k1,10,-0.766,0.01,-0.323,0.362
n>=100,eff_vs_teacher,var_err_strength,10,-0.455,0.187,-0.385,0.272
n>=100,eff_beat_m100,n,10,-0.036,0.92,-0.452,0.189
n>=100,eff_beat_m100,d,10,0.544,0.104,-0.208,0.564
n>=100,eff_beat_m100,spread,10,0.535,0.111,0.259,0.47
n>=100,eff_beat_m100,nn1_mean,10,0.413,0.235,0.187,0.606
n>=100,eff_beat_m100,knn5_mean,10,0.316,0.374,0.22,0.541
n>=100,eff_beat_m100,knn5_median,10,0.377,0.283,0.284,0.426
n>=100,eff_beat_m100,het_global_cv,10,-0.158,0.663,0.054,0.883
n>=100,eff_beat_m100,knn_cv_mean,10,-0.061,0.868,0.181,0.618
n>=100,eff_beat_m100,norm_entropy,10,-0.012,0.973,0.282,0.43
n>=100,eff_beat_m100,min_pairwise,10,0.185,0.61,0.132,0.716
n>=100,eff_beat_m100,spc_err_strength,10,0.006,0.987,-0.587,0.075
n>=100,eff_beat_m100,spc_err_nn_k1,10,-0.061,0.868,-0.719,0.019
n>=100,eff_beat_m100,var_err_strength,10,-0.273,0.446,-0.772,0.009
