dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.5,0.5,4.80347,5.00185
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.5,0.75,4.80347,4.994
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.5,1.0,4.80347,4.89754
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.3,0.0,5.40207,5.40207
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.3,0.5,5.40207,5.31886
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.3,0.75,5.40207,4.74687
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.3,1.0,5.40207,4.87624
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.5,0.0,5.44911,5.44911
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.5,0.5,5.44911,5.46427
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.5,0.75,5.44911,5.10848
ccpp,structured,100,46,0.2,0.0,0.5,5.06823,5.04535,0.5,1.0,5.44911,4.76087
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.3,0.0,4.83185,4.83185
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.3,0.5,4.83185,4.39445
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.3,0.75,4.83185,4.5532
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.3,1.0,4.83185,4.75313
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.5,0.0,5.44538,5.44538
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.5,0.5,5.44538,4.53688
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.5,0.75,5.44538,4.82871
ccpp,structured,100,47,0.2,0.0,0.5,4.64829,5.51275,0.5,1.0,5.44538,4.89934
