seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.236191,0.788568,0,3.9426,2.8101,1.4964,1.5417,2.4462,2.4009
42,0.079195,0.210327,0,2.1021,0.0421,1.0689,1.634,1.0332,0.4681
42,0.124883,0.470156,0,4.0074,3.2826,2.8598,2.3162,1.1476,1.6912
42,0.040716,1.073401,0,0.8776,1.5722,0.5871,3.1088,0.2905,-2.2312
42,0.068132,0.223939,0,6.0753,7.3135,8.2648,6.4528,-2.1895,-0.3775
42,0.418453,0.098489,1,4.4455,1.6369,1.9691,5.3666,2.4764,-0.9211
42,0.095579,0.387101,0,2.9236,0.9757,2.3196,2.6367,0.604,0.2869
42,0.103359,0.15043,0,11.2778,9.2242,8.8316,11.5496,2.4462,-0.2718
42,0.036893,0.243168,0,8.0068,4.8056,5.9985,6.5723,2.0083,1.4345
42,0.162211,0.417269,0,2.0667,4.7092,4.4374,3.3502,-2.3707,-1.2835
42,0.0939,1.065483,0,0.8406,2.0788,0.1862,0.7449,0.6544,0.0957
42,0.359269,0.087378,1,8.1304,7.0734,4.0987,6.6808,4.0317,1.4496
42,0.218482,0.099682,1,2.6661,3.2399,5.8824,2.7114,-3.2163,-0.0453
42,0.051419,0.705006,0,4.5568,3.3337,3.3337,5.2816,1.2231,-0.7248
42,0.10864,1.10279,0,2.4526,4.5968,5.9407,3.8267,-3.4881,-1.3741
42,0.038642,0.810705,0,1.1105,3.3906,0.7619,1.4276,0.3486,-0.3171
42,0.196152,0.896637,0,12.1897,10.8458,8.46,8.0976,3.7297,4.0921
42,0.102703,0.53755,0,1.4088,1.8316,0.2763,2.9037,1.1325,-1.4949
42,0.19125,0.250104,0,7.0206,5.8579,5.5559,6.4921,1.4647,0.5285
42,0.31028,0.099896,1,3.1052,3.5582,6.1403,5.0984,-3.0351,-1.9932
42,0.092435,0.705295,0,5.2588,5.6967,3.0844,4.534,2.1744,0.7248
42,0.630223,0.0,1,8.3417,6.9072,6.726,7.0431,1.6157,1.2986
42,0.380269,0.164868,1,0.887,1.4686,0.3059,1.5743,0.5811,-0.6873
42,0.042523,0.993721,0,3.3183,3.7411,2.4425,0.5926,0.8758,2.7257
42,0.05566,0.532705,0,0.7026,2.408,4.7183,1.8644,-4.0157,-1.1618
42,0.106068,1.178601,0,5.4442,4.7949,7.7092,6.2898,-2.265,-0.8456
42,0.115621,0.481422,0,7.5799,4.2881,5.7528,7.3232,1.8271,0.2567
42,0.11651,0.296206,0,7.5761,5.0091,4.9789,4.3447,2.5972,3.2314
42,0.181505,0.730438,0,6.5403,6.5101,5.4078,7.7936,1.1325,-1.2533
42,0.176552,0.564645,0,1.481,0.2126,2.5809,1.632,-1.0999,-0.151
42,0.123828,0.341318,0,0.3711,0.9577,1.4258,0.5651,-1.0547,-0.194
42,0.309683,0.168713,1,7.778,7.5817,6.3888,9.8769,1.3892,-2.0989
42,0.0,0.955603,0,8.5682,8.6286,5.5784,6.6505,2.9898,1.9177
42,0.113257,0.530082,0,5.6886,4.1333,3.8313,2.3968,1.8573,3.2918
42,0.209731,1.070742,0,4.584,2.2284,4.6293,5.2182,-0.0453,-0.6342
42,0.145974,0.317224,0,5.9229,6.0588,2.9935,4.428,2.9294,1.4949
42,0.084673,1.134394,0,4.3608,2.8055,0.918,2.5488,3.4428,1.812
42,0.107389,0.078407,1,1.3047,0.0665,0.8848,0.9272,0.4199,0.3775
42,0.061745,0.454057,0,0.4501,2.3376,2.398,0.4257,-1.9479,0.0244
42,0.083642,0.303485,0,7.3556,5.3926,6.359,5.0,0.9966,2.3556
42,0.075573,0.497377,0,1.7706,0.1773,0.2304,1.8685,1.5402,-0.0979
42,0.099629,0.960158,0,1.7236,4.7738,2.6749,2.3276,-0.9513,-0.604
42,0.044547,0.574226,0,0.1138,0.446,0.3856,0.5506,-0.2718,-0.4368
42,0.144432,1.153773,0,4.7615,3.931,4.3387,4.837,0.4228,-0.0755
42,0.514657,0.047021,1,1.6802,1.2492,1.9287,0.7962,-0.2485,0.884
42,0.149059,1.00519,0,4.1864,2.6462,3.22,6.089,0.9664,-1.9026
42,0.20374,0.195801,1,4.1505,5.283,6.5363,2.9274,-2.3858,1.2231
42,0.106139,0.761368,0,1.2213,2.6105,3.9091,2.2028,-2.6878,-0.9815
42,0.689106,0.060459,1,8.5122,5.2355,8.935,7.0173,-0.4228,1.4949
42,0.199336,0.963229,0,6.7202,8.1849,11.7938,8.9248,-5.0736,-2.2046
42,0.031403,0.286402,0,4.4331,1.4735,3.1345,5.022,1.2986,-0.5889
42,0.253457,0.118412,1,3.4172,1.2277,0.3519,2.3904,3.0653,1.0268
42,0.111942,0.354514,0,7.4955,7.8579,8.1599,7.1935,-0.6644,0.302
42,0.115876,0.227456,0,2.7522,4.4585,4.6699,2.3445,-1.9177,0.4077
42,0.169295,0.726024,0,5.5913,3.4471,6.8748,5.5007,-1.2835,0.0906
42,0.091624,0.631008,0,4.4645,2.124,1.2784,3.4528,3.1861,1.0117
42,0.299106,0.157826,1,6.2826,6.2071,4.1837,3.8213,2.0989,2.4613
42,0.080183,0.247007,0,1.9033,1.8882,1.0275,1.9184,0.8758,-0.0151
42,0.169146,0.728301,0,10.4824,8.9422,10.0143,8.157,0.4681,2.3254
42,0.241983,0.177715,1,4.8614,4.3178,4.2272,6.4167,0.6342,-1.5553
42,0.4289,0.160125,1,6.4824,4.6855,5.5311,5.6368,0.9513,0.8456
42,0.094248,0.588066,0,1.7914,1.0776,0.4736,3.1655,1.3178,-1.3741
42,0.136707,0.578071,0,0.9535,1.1454,0.3797,1.5682,0.5738,-0.6147
42,0.057077,0.455129,0,1.6601,3.5476,3.608,0.7843,-1.9479,0.8758
42,0.487487,0.370586,1,6.1242,5.4296,7.9664,7.604,-1.8422,-1.4798
42,0.131642,0.66839,0,7.9858,5.9624,7.6385,7.9858,0.3473,0.0
42,0.369954,0.083346,1,8.6643,7.864,5.9916,8.3774,2.6727,0.2869
42,0.296131,0.080864,1,2.4921,2.1901,0.5895,0.7254,1.9026,1.7667
42,0.158768,1.168904,0,2.1464,3.9886,3.596,2.1162,-1.4496,0.0302
42,0.388136,0.142371,1,0.1671,1.1335,3.9572,1.8281,-3.7901,-1.661
42,0.032596,0.522964,0,2.8619,0.1741,1.4727,0.0373,1.3892,2.8246
42,0.148829,0.385715,0,6.9506,3.3719,6.1654,6.9204,0.7852,0.0302
42,0.169256,0.415051,0,3.4836,1.2488,1.3092,3.1665,2.1744,0.3171
42,0.168324,0.233824,0,2.3563,2.2959,3.0207,1.7523,-0.6644,0.604
42,0.041194,0.850298,0,0.2215,1.8372,0.6141,2.6173,-0.3926,-2.3958
42,0.190208,0.306202,0,1.6842,0.46,0.0221,0.4913,1.6621,1.1929
42,0.766035,0.047014,1,5.4443,3.7984,4.6289,7.1355,0.8154,-1.6912
42,0.082628,0.449115,0,0.863,1.1801,1.2963,0.798,-0.4333,0.065
42,0.376475,0.098054,1,1.5248,0.5131,0.9812,1.9778,0.5436,-0.453
42,0.352044,0.550709,0,0.479,0.7441,1.0763,0.1317,-0.5973,0.3473
42,0.160528,0.353891,0,7.6532,4.0896,7.3965,10.794,0.2567,-3.1408
42,0.278865,0.125844,1,7.2843,2.3768,3.5848,7.0427,3.6995,0.2416
42,0.134085,0.902747,0,4.5457,2.9602,6.2369,5.346,-1.6912,-0.8003
42,0.093439,0.595288,0,2.2935,4.6491,5.4796,3.4864,-3.1861,-1.1929
42,0.377505,0.084047,1,1.3796,1.58,2.8484,1.9877,-1.4688,-0.6081
42,0.104028,0.699102,0,0.4054,0.3752,0.0778,2.8365,0.3276,-2.4311
42,0.031227,0.210434,0,0.6632,2.445,5.0573,3.2906,-4.3941,-2.6274
42,0.192526,0.294705,0,1.2961,3.3648,4.6634,0.677,-3.3673,0.6191
42,0.118207,0.443431,0,6.0514,5.5078,5.4172,7.6067,0.6342,-1.5553
42,0.077026,0.927423,0,1.2974,0.2428,2.6739,1.6924,-1.3765,-0.395
42,0.183004,0.301754,0,3.8609,1.3694,1.3241,5.2803,2.5368,-1.4194
42,0.228038,0.284326,0,2.2854,0.262,1.319,0.6289,0.9664,1.6565
42,0.06751,0.227295,0,7.7631,3.6106,6.2531,7.0383,1.51,0.7248
42,0.14817,0.126793,1,7.0449,5.701,6.1691,4.3873,0.8758,2.6576
42,0.374357,0.10797,1,2.8678,3.3208,3.7738,4.257,-0.906,-1.3892
42,0.10919,0.75339,0,0.0702,0.1457,1.1831,0.3722,-1.1129,-0.302
42,0.103416,1.433914,0,1.2552,0.2699,2.8558,4.9245,-1.6006,-3.6693
42,0.141222,1.003642,0,8.303,5.2377,8.2879,5.9323,0.0151,2.3707
42,0.190824,0.044457,1,4.6375,4.3355,5.1056,2.4631,-0.4681,2.1744
42,0.120572,0.826787,0,2.2098,3.0705,1.4397,1.8474,0.7701,0.3624
42,0.620359,0.278524,1,9.1496,7.3225,7.3829,8.606,1.7667,0.5436
42,0.048365,0.994373,0,0.2276,0.9222,1.2371,3.7588,-1.0095,-3.5312
42,0.103609,0.138357,0,1.9821,0.4339,1.204,1.4234,0.7781,0.5587
42,0.222948,0.1862,1,1.8199,0.8377,1.6984,0.8082,0.1215,1.0117
42,0.100496,0.204389,0,4.9066,7.2924,5.7824,5.5257,-0.8758,-0.6191
42,0.121483,0.131443,0,1.9,4.8143,4.7388,2.806,-2.8388,-0.906
42,0.286309,0.888145,0,1.6258,2.9999,0.4782,0.448,1.1476,1.1778
42,0.058861,0.502089,0,2.5282,0.6105,2.196,1.1994,0.3322,1.3288
42,0.192287,1.213455,0,1.9046,1.361,1.5875,2.3878,0.3171,-0.4832
42,0.0,0.829828,0,3.1882,3.2486,0.1984,1.2705,2.9898,1.9177
42,0.254822,1.77542,0,15.707,10.4824,11.177,11.9471,4.53,3.7599
42,0.126627,0.536291,0,15.0691,14.5104,15.4919,14.6161,-0.4228,0.453
42,0.039842,0.127967,0,10.6399,9.7943,9.8698,11.9989,0.7701,-1.359
42,0.060013,0.303244,0,3.3739,3.389,6.5751,7.2093,-3.2012,-3.8354
42,0.389916,0.053888,1,13.8112,12.724,12.9505,12.0143,0.8607,1.7969
42,0.208201,0.063315,1,9.5917,7.3267,7.8703,8.0666,1.7214,1.5251
42,0.038888,0.512454,0,0.5545,1.4991,0.2827,0.4941,0.2718,0.0604
42,0.186571,0.56977,0,1.0847,3.4604,1.1048,0.7978,-0.0201,0.2869
42,0.13447,0.475496,0,0.7935,3.1174,3.0268,1.5319,-2.2333,-0.7384
42,0.156182,0.278283,0,4.2642,4.5662,2.1653,4.1736,2.0989,0.0906
42,0.46581,0.113441,1,3.9449,2.4349,2.7973,4.715,1.1476,-0.7701
42,0.528593,0.210342,1,1.9457,1.9155,1.085,1.3612,0.8607,0.5845
42,0.044906,1.154963,0,3.4892,1.7678,1.6772,5.8599,1.812,-2.3707
42,0.374512,0.176757,1,9.5501,9.3991,7.119,7.2398,2.4311,2.3103
42,0.062722,0.73729,0,6.3245,3.984,3.1384,5.3128,3.1861,1.0117
42,0.081245,0.043413,1,4.8379,5.1399,6.7405,6.6046,-1.9026,-1.7667
42,0.298931,0.090244,1,1.7732,0.2955,0.4465,3.0416,1.3267,-1.2684
42,0.123171,0.367555,0,3.5741,1.7621,0.4937,1.9131,3.0804,1.661
42,0.091941,0.308095,0,0.7666,2.1477,0.5471,0.532,0.2195,0.2346
42,0.146369,1.233353,0,3.1579,2.7049,3.6109,2.3878,-0.453,0.7701
42,0.049268,1.167253,0,5.4283,5.8511,4.5525,1.5174,0.8758,3.9109
42,0.02029,0.352434,0,0.9428,1.4581,0.6578,3.3909,0.285,-2.4481
42,0.148213,0.144548,1,4.3967,5.7406,5.8614,5.348,-1.4647,-0.9513
42,0.060792,0.704501,0,5.2497,4.7967,6.9107,7.3184,-1.661,-2.0687
42,0.159794,0.13085,1,3.6176,0.9449,0.5221,1.0808,3.0955,2.5368
42,0.142522,1.33444,0,6.455,6.1228,5.9416,4.6581,0.5134,1.7969
42,0.151578,1.031177,0,8.6666,7.3378,8.274,4.9067,0.3926,3.7599
42,0.096598,0.631965,0,8.1986,6.6433,6.3413,4.9068,1.8573,3.2918
42,0.25552,0.26098,0,2.821,1.4318,2.2472,3.274,0.5738,-0.453
42,0.2274,0.139326,1,8.3599,5.7023,4.8416,7.3482,3.5183,1.0117
42,0.099367,0.265041,0,1.4949,0.1661,0.3171,0.6644,1.1778,0.8305
