mode,eff,predictor,n,spearman,spearman_p,pearson
teacher_sign_tmag,eff_raw,knn_cv_mean,10,0.109,0.763,0.181
teacher_sign_tmag,eff_raw,norm_entropy,10,0.182,0.614,0.282
teacher_sign_tmag,eff_raw,min_pairwise,10,0.135,0.709,0.132
teacher_sign_tmag,eff_raw,spc_err_strength,10,-0.139,0.701,-0.587
teacher_sign_tmag,eff_raw,spc_err_nn_k1,10,-0.255,0.476,-0.719
teacher_sign_tmag,eff_raw,var_err_strength,10,-0.176,0.627,-0.772
teacher_sign_tmag,eff_raw,teacher_edge,10,-0.091,0.803,-1.0
teacher_sign_tmag,eff_norm,n,10,0.267,0.455,0.295
teacher_sign_tmag,eff_norm,d,10,0.11,0.762,-0.209
teacher_sign_tmag,eff_norm,spread,10,-0.146,0.688,-0.364
teacher_sign_tmag,eff_norm,nn1_mean,10,-0.328,0.354,-0.613
teacher_sign_tmag,eff_norm,knn5_mean,10,-0.389,0.266,-0.526
teacher_sign_tmag,eff_norm,knn5_median,10,-0.377,0.283,-0.537
teacher_sign_tmag,eff_norm,het_global_cv,10,0.061,0.868,0.067
teacher_sign_tmag,eff_norm,knn_cv_mean,10,0.377,0.283,0.153
teacher_sign_tmag,eff_norm,norm_entropy,10,-0.036,0.92,-0.21
teacher_sign_tmag,eff_norm,min_pairwise,10,-0.234,0.515,-0.839
teacher_sign_tmag,eff_norm,spc_err_strength,10,-0.115,0.751,-0.133
teacher_sign_tmag,eff_norm,spc_err_nn_k1,10,-0.109,0.763,0.004
teacher_sign_tmag,eff_norm,var_err_strength,10,-0.018,0.96,-0.141
teacher_sign_tmag,eff_norm,teacher_edge,10,0.03,0.934,-0.037
teacher_sign_tmag,eff_winrate,n,10,-0.173,0.633,-0.085
teacher_sign_tmag,eff_winrate,d,10,-0.066,0.857,-0.145
teacher_sign_tmag,eff_winrate,spread,10,0.016,0.964,-0.017
teacher_sign_tmag,eff_winrate,nn1_mean,10,-0.127,0.726,-0.256
teacher_sign_tmag,eff_winrate,knn5_mean,10,-0.127,0.726,-0.131
teacher_sign_tmag,eff_winrate,knn5_median,10,-0.127,0.726,-0.118
teacher_sign_tmag,eff_winrate,het_global_cv,10,-0.284,0.426,-0.217
teacher_sign_tmag,eff_winrate,knn_cv_mean,10,0.558,0.093,0.011
teacher_sign_tmag,eff_winrate,norm_entropy,10,0.356,0.313,0.308
teacher_sign_tmag,eff_winrate,min_pairwise,10,-0.294,0.409,-0.542
teacher_sign_tmag,eff_winrate,spc_err_strength,10,-0.02,0.957,0.004
teacher_sign_tmag,eff_winrate,spc_err_nn_k1,10,-0.098,0.788,-0.027
teacher_sign_tmag,eff_winrate,var_err_strength,10,0.0,1.0,-0.026
teacher_sign_tmag,eff_winrate,teacher_edge,10,-0.007,0.986,-0.181
teacher_sign_tmag,beat_m00,n,10,-0.213,0.555,-0.452
teacher_sign_tmag,beat_m00,d,10,0.073,0.84,-0.208
teacher_sign_tmag,beat_m00,spread,10,0.164,0.65,0.259
teacher_sign_tmag,beat_m00,nn1_mean,10,0.14,0.7,0.187
teacher_sign_tmag,beat_m00,knn5_mean,10,0.14,0.7,0.22
teacher_sign_tmag,beat_m00,knn5_median,10,0.176,0.626,0.284
teacher_sign_tmag,beat_m00,het_global_cv,10,-0.176,0.626,0.054
teacher_sign_tmag,beat_m00,knn_cv_mean,10,-0.018,0.96,0.181
teacher_sign_tmag,beat_m00,norm_entropy,10,0.079,0.828,0.282
teacher_sign_tmag,beat_m00,min_pairwise,10,-0.228,0.527,0.132
teacher_sign_tmag,beat_m00,spc_err_strength,10,-0.103,0.777,-0.587
